key_en,key_ru,key_hy
Depth of the built-in niche,Глубина ниши для встраивания,Ներկառուցման խորշի խորություն
Depth of the product with handle (mm),Глубина продукта с ручкой (мм),Բռնակով արտադրանքի խորություն (մմ)
Depth packaged,Глубина упаковки,Փաթեթավորման խորություն
Depth packaged (mm),Глубина упаковки (мм),Փաթեթավորման խորություն (մմ)
Depth without handle,Глубина без ручки,Խորություն առանց բռնակի
Description,Описание,Նկարագրություն
Design,Дизайн,Դիզայն
Diameter,Диаметр,Տրամագիծ
Dimensions,Размеры,Չափերը
Dimensions of the packaged product,Размеры упакованного продукта,Փաթեթավորված արտադրանքի չափերը
Dimensions of the packaged product (mm),Размеры упакованного продукта (мм),Փաթեթավորված արտադրանքի չափերը (մմ)
Dimensions of the packed product (mm),Размеры упакованного продукта (мм),Փաթեթավորված արտադրանքի չափերը (մմ)
Dimensions of the product,Размеры продукта,Արտադրանքի չափերը
Dimensions of the product (mm),Размеры продукта (мм),Արտադրանքի չափերը (մմ)
Dimensions of the product HxWxD,Размеры продукта ВxШxГ,Արտադրանքի չափերը ԲxԼxԽ
Dimensions of the product HxWxD (mm),Размеры продукта ВxШxГ (мм),Արտադրանքի չափերը ԲxԼxԽ (մմ)
Dimmer mode,Режим затемнения,Խամրեցման ռեժիմ
Disc color,Цвет диска,Սկավառակի գույնը
Disc material,Материал диска,Սկավառակի նյութ
Dishwasher Safe Flex edges beater,Венчик с гибкими краями, пригодный для мытья в посудомоечной машине,Ճկուն եզրերով հարիչ՝ աման լվացող մեքենայում լվացման համար
Dishwasher safe,Можно мыть в посудомоечной машине,Աման լվացող մեքենայում լվացվող
Dishwasher safe bottle,Бутылка, пригодная для мытья в посудомоечной машине,Աման լվացող մեքենայում լվացվող շիշ
Dishwasher safe bowl,Чаша, пригодная для мытья в посудомоечной машине,Աման լվացող մեքենայում լվացվող թաս
Dishwasher safe dough hook,Крюк для теста, пригодный для мытья в посудомоечной машине,Աման լվացող մեքենայում լվացվող խմորի կարթ
Dishwasher safe hooks and whisks,Крюки и венчики, пригодные для мытья в посудомоечной машине,Աման լվացող մեքենայում լվացվող կարթեր և հարիչներ
Dishwasher safe pouring shield,Защитный экран, пригодный для мытья в посудомоечной машине,Աման լվացող մեքենայում լվացվող պաշտպանիչ վահան
Display,Дисплей,Էկրան
Display / Clock,Дисплей / Часы,Էկրան / Ժամացույց
Display frame colour,Цвет рамки дисплея,Էկրանի շրջանակի գույնը
Display name,Название дисплея,Էկրանի անվանում
Display porition,Положение дисплея,Էկրանի դիրքը
Display technology,Технология дисплея,Էկրանի տեխնոլոգիա
Display type,Тип дисплея,Էկրանի տեսակը
Display/led for temperature regulation,Дисплей/светодиод для регулировки температуры,Ջերմաստիճանի կարգավորման էկրան/LED
Dividing wall width,Ширина разделительной стенки,Բաժանարար պատի լայնությունը
Door,Дверца,Դուռ
Door Lock During Pyrolisis,Блокировка двери во время пиролиза,Դռան կողպեք պիրոլիզի ժամանակ
Door colour,Цвет дверцы,Դռան գույնը
Door diameter,Диаметр дверцы,Դռան տրամագիծը
Door handle color,Цвет ручки дверцы,Դռան բռնակի գույնը
Door hinges,Дверные петли,Դռան ծխնիներ
Door material,Материал дверцы,Դռան նյութ
Door open alarm,Сигнал открытой двери,Բաց դռան ազդանշան
Door opening,Открывание дверцы,Դռան բացում
Door opening flush with the wall,Дверца открывается заподлицо со стеной,Դռան բացում պատի հետ հավասար
Door opening system,Система открывания дверцы,Դռան բացման համակարգ
Door opening type,Тип открывания дверцы,Դռան բացման տեսակը
Door shelves profile color,Цвет профиля полок на дверце,Դռան դարակների պրոֆիլի գույնը
Door size,Размер дверцы,Դռան չափը
Door steel type,Тип стали дверцы,Դռան պողպատի տեսակը
Door type,Тип дверцы,Դռան տեսակը
Door window,Окно дверцы,Դռան պատուհան
Double Booster,Двойной бустер,Կրկնակի բուսթեր
Double Wall 1 Cup Filter,Фильтр для 1 чашки с двойными стенками,Կրկնակի պատերով 1 բաժակի ֆիլտր
Double blade,Двойное лезвие,Կրկնակի շեղբ
Double blade material,Материал двойного лезвия,Կրկնակի շեղբի նյութ
Double wall 2 Cups Filter,Фильтр для 2 чашек с двойными стенками,Կրկնակի պատերով 2 բաժակի ֆիլտր
Dough hook,Крюк для теста,Խմորի կարթ
Dough hook material,Материал крюка для теста,Խմորի կարթի նյութ
Drainer,Сливная решётка,Ջրաքամիչ
Drainer inclination,Наклон сливной решётки,Ջրաքամիչի թեքություն
Drawer Color,Цвет ящика,Դարակի գույնը
Drawers profile color,Цвет профиля ящиков,Դարակների պրոֆիլի գույնը
Drip Tray Material,Материал поддона для капель,Կաթիլների սկուտեղի նյութ
Drip tray,Поддон для капель,Կաթիլների սկուտեղ
Drip tray cover,Крышка поддона для капель,Կաթիլների սկուտեղի կափարիչ
Drum capacity,Вместимость барабана,Թմբուկի տարողություն
Drum material,Материал барабана,Թմբուկի նյութ
Drum volume,Объём барабана,Թմբուկի ծավալ
Dry Assist+ option,Опция Dry Assist+,Dry Assist+ տարբերակ
Drying function,Функция сушки,Չորացման գործառույթ
Drying option,Опция сушки,Չորացման տարբերակ
Drying system,Система сушки,Չորացման համակարգ
Drying type option,Опция типа сушки,Չորացման տեսակի տարբերակ
Duration of UK PSTI support period,Длительность периода поддержки UK PSTI,Մեծ Բրիտանիայի PSTI աջակցության ժամկետի տևողությունը
EAN Code,Код EAN,EAN կոդ
EAN code,Код EAN,EAN կոդ
ECO,ЭКО,ԷԿՈ
EEI,EEI,EEI
Easy to access filter,Легкодоступный фильтр,Հեշտ հասանելի ֆիլտր
Eco 40-60 programme duration (Rated washing capacity),Длительность программы Eco 40-60 (номинальная загрузка),Eco 40-60 ծրագրի տևողությունը (գնահատված լվացման հզորություն)
Eco-Heat,Эко-нагрев,Էկո-ջեռուցում
Eco-Off,Эко-выключение,Էկո-անջատում
Egg pasta dough,Тесто для яичной пасты,Ձվի մակարոնի խմոր
Electric cable,Электрический кабель,Էլեկտրական մալուխ
Electrical connection rating,Номинальная электрическая мощность,Էլեկտրական միացման գնահատական
Electrical connection rating (W),Номинальная электрическая мощность (Вт),Էլեկտրական միացման գնահատական (Վտ)
Electronic control,Электронное управление,Էլեկտրոնային կառավարում
Electronic control functioning,Функционирование электронного управления,Էլեկտրոնային կառավարման գործունեություն
Empty water tank alarm,Сигнал пустого бака для воды,Դատարկ ջրի բաքի ազդանշան
Enamelled deep tray (40mm),Эмалированный глубокий противень (40 мм),Էմալապատ խորը սկուտեղ (40 մմ)
Enamelled deep tray (50mm),Эмалированный глубокий противень (50 мм),Էմալապատ խորը սկուտեղ (50 մմ)
Enamelled tray (20mm),Эмалированный противень (20 мм),Էմալապատ սկուտեղ (20 մմ)
End cooking timer,Таймер окончания приготовления,Խոհարարության ավարտի ժմչփ
End of cooking acoustic alarm,Звуковой сигнал окончания приготовления,Խոհարարության ավարտի ձայնային ազդանշան
End of cooking alarm,Сигнал окончания приготовления,Խոհարարության ավարտի ազդանշան
End of cycle indicator,Индикатор окончания цикла,Ցիկլի ավարտի ցուցիչ
End of cycle indicator (light),Индикатор окончания цикла (световой),Ցիկլի ավարտի ցուցիչ (լուսային)
Energy Efficiency Class,Класс энергоэффективности,Էներգաարդյունավետության դաս
Energy Efficiency Class (Complete cycle),Класс энергоэффективности (полный цикл),Էներգաարդյունավետության դաս (ամբողջական ցիկլ)
Energy Efficiency Class (Washing cycle),Класс энергоэффективности (цикл стирки),Էներգաարդյունավետության դաս (լվացման ցիկլ)
Energy Efficiency Index,Индекс энергоэффективности,Էներգաարդյունավետության ինդեքս
Energy Efficiency Index (EEI),Индекс энергоэффективности (EEI),Էներգաարդյունավետության ինդեքս (EEI)
Energy consumption [per 100 cycles, based on the eco programme],Энергопотребление [на 100 циклов, по эко-программе],Էներգիայի սպառում [100 ցիկլով, էկո ծրագրի հիման վրա]
Energy consumption for the hob,Энергопотребление варочной панели,Վառարանի էներգիայի սպառում
Energy consumption in conventional mode,Энергопотребление в обычном режиме,Էներգիայի սպառում սովորական ռեժիմում
Energy consumption in conventional mode, 2 cavity,Энергопотребление в обычном режиме, 2-я полость,Էներգիայի սպառում սովորական ռեժիմում, 2-րդ խոռոչ
Energy consumption in forced air convection,Энергопотребление в режиме принудительной конвекции,Էներգիայի սպառում հարկադիր կոնվեկցիայի ռեժիմում
Energy consumption in forced air convection, cavity 2,Энергопотребление в режиме принудительной конвекции, полость 2,Էներգիայի սպառում հարկադիր կոնվեկցիայի ռեժիմում, խոռոչ 2
Energy consumption per cycle in conventional mode,Энергопотребление за цикл в обычном режиме,Էներգիայի սպառում մեկ ցիկլով սովորական ռեժիմում
Energy consumption per cycle in conventional mode, cavity 2,Энергопотребление за цикл в обычном режиме, полость 2,Էներգիայի սպառում մեկ ցիկլով սովորական ռեժիմում, խոռոչ 2
Energy consumption per cycle in conventional mode, second cavity,Энергопотребление за цикл в обычном режиме, вторая полость,Էներգիայի սպառում մեկ ցիկլով սովորական ռեժիմում, երկրորդ խոռոչ
Energy consumption per cycle in fan-forced convection,Энергопотребление за цикл в режиме принудительной конвекции,Էներգիայի սպառում մեկ ցիկլով հարկադիր կոնվեկցիայում
Energy consumption zone 1,Энергопотребление зоны 1,Էներգիայի սպառում գոտի 1
Energy consumption zone 2,Энергопотребление зоны 2,Էներգիայի սպառում գոտի 2
Energy consumption zone 3,Энергопотребление зоны 3,Էներգիայի սպառում գոտի 3
Energy consumption zone 4,Энергопотребление зоны 4,Էներգիայի սպառում գոտի 4
Energy consumption zone 5,Энергопотребление зоны 5,Էներգիայի սպառում գոտի 5
Energy consumption zone 6,Энергопотребление зоны 6,Էներգիայի սպառում գոտի 6
Energy efficicency class ( EEC),Класс энергоэффективности (EEC),Էներգաարդյունավետության դաս (EEC)
Energy efficicency class (EEC),Класс энергоэффективности (EEC),Էներգաարդյունավետության դաս (EEC)
Energy efficiency Index (EEI),Индекс энергоэффективности (EEI),Էներգաարդյունավետության ինդեքս (EEI)
Energy efficiency class,Класс энергоэффективности,Էներգաարդյունավետության դաս
Energy efficiency class, second cavity,Класс энергоэффективности, вторая полость,Էներգաարդյունավետության դաս, երկրորդ խոռոչ
Espresso Function,Функция эспрессо,Էսպրեսսո գործառույթ
Express 27',Экспресс 27',Էքսպրես 27'
Express 50°,Экспресс 50°,Էքսպրես 50°
External bowl finishing,Внешняя отделка чаши,Արտաքին թասի հարդարում
External bowl material,Внешний материал чаши,Արտաքին թասի նյութ
Extra bottle SKSB01,Дополнительная бутылка SKSB01,Լրացուցիչ շիշ SKSB01
Extra dry option,Опция дополнительной сушки,Լրացուցիչ չորացման տարբերակ
Extraction,Вытяжка,Արտահանում
Extraction rate (IEC 61591),Скорость вытяжки (IEC 61591),Արտահանման արագություն (IEC 61591)
Extraction rate IEC 61591,Скорость вытяжки IEC 61591,Արտահանման արագություն IEC 61591
Extreme option,Опция Extreme,Extreme տարբերակ
Family,Семейство,Ընտանիք
Family group,Группа семейства,Ընտանիքի խումբ
Fan,Вентилятор,Օդափոխիչ
Fan forced ON,Принудительная конвекция ВКЛ,Հարկադիր օդափոխություն ՄԻԱՑՎԱԾ
Fan number,Количество вентиляторов,Օդափոխիչների քանակը
Fan-assisted function,Функция с вентилятором,Օդափոխիչով գործառույթ
Fast freezing button,Кнопка быстрой заморозки,Արագ սառեցման կոճակ
Fast freezing compartment,Отделение быстрой заморозки,Արագ սառեցման խցիկ
Feet color,Цвет ножек,Ոտքերի գույնը
Filter,Фильтр,Ֆիլտր
Filter material,Материал фильтра,Ֆիլտրի նյութ
Filter replacement indicator,Индикатор замены фильтра,Ֆիլտրի փոխարինման ցուցիչ
Filtered water cartridge type,Тип картриджа для фильтрованной воды,Ֆիլտրացված ջրի քարթրիջի տեսակը
Filterholder Diameter,Диаметр держателя фильтра,Ֆիլտրի պահարանի տրամագիծը
Filterholder Handle Color,Цвет ручки держателя фильтра,Ֆիլտրի պահարանի բռնակի գույնը
Filterholder Handle Material,Материал ручки держателя фильтра,Ֆիլտրի պահարանի բռնակի նյութ
Filterholder Material,Материал держателя фильтра,Ֆիլտրի պահարանի նյութ
Finishing,Отделка,Հարդարում
Flat beater dishwasher safe,Плоский венчик, пригодный для мытья в посудомоечной машине,Հարթ հարիչ՝ աման լվացող մեքենայում լվացման համար
Flat beater material,Материал плоского венчика,Հարթ հարիչի նյութ
Flex edges beater,Венчик с гибкими краями,Ճկուն եզրերով հարիչ
Flex edges beater material,Материал венчика с гибкими краями,Ճկուն եզրերով հարիչի նյութ
Flexible Zone Type,Тип гибкой зоны,Ճկուն գոտու տեսակը
Flexible hoses connection,Подключение гибких шлангов,Ճկուն խողովակների միացում
Flexible hoses lenght,Длина гибких шлангов,Ճկուն խողովակների երկարություն
Flexible hoses number,Количество гибких шлангов,Ճկուն խողովակների քանակը
Flood protection system,Система защиты от затопления,Հեղեղի պաշտպանության համակարգ
Fluff filter,Фильтр для ворса,Փափկության ֆիլտր
Fluid Dynamic Efficiency (FDE),Гидродинамическая эффективность (FDE),Հիդրոդինամիկ արդյունավետություն (FDE)
Fluid Dynamic Efficiency class (FDEC),Класс гидродинамической эффективности (FDEC),Հիդրոդինամիկ արդյունավետության դաս (FDEC)
Follow Pot,Режим Follow Pot,Follow Pot ռեժիմ
Food contact safe,Безопасно для контакта с пищей,Սննդի հետ շփման համար անվտանգ
Frame,Рамка,Շրջանակ
Frame colour,Цвет рамки,Շրջանակի գույնը
Frame depth (mm),Глубина рамки (мм),Շրջանակի խորությունը (մմ)
Frame thickness,Толщина рамки,Շրջանակի հաստությունը
Free outlet maximum capacity,Максимальная производительность свободного выпуска,Ազատ ելքի առավելագույն հզորություն
Freezer (4-star) (1) - Freezing capacity,Морозильная камера (4 звезды) - Мощность заморозки,Սառցախցիկ (4 աստղ) - Սառեցման հզորություն
Freezer compartment accessories,Аксессуары для морозильной камеры,Սառցախցիկի աքսեսուարներ
Frequency,Частота,Հաճախականություն
Frequency (Hz),Частота (Гц),Հաճախականություն (Հց)
Frequency Hz,Частота Гц,Հաճախականություն Հց
Fresh Food compartment - Gross Volume,Отделение свежих продуктов - Общий объём,Թարմ սննդի խցիկ - Համախառն ծավալ
Fresh Food compartment - Storage Volume,Отделение свежих продуктов - Полезный объём,Թարմ սննդի խցիկ - Պահեստավորման ծավալ
Front panel Colour,Цвет передней панели,Առջևի վահանակի գույնը
Front panel colour,Цвет передней панели,Առջևի վահանակի գույնը
Front panel finishing,Отделка передней панели,Առջևի վահանակի հարդարում
Front panel material,Материал передней панели,Առջևի վահանակի նյութ
Front panel type,Тип передней панели,Առջևի վահանակի տեսակը
Frontal cover colour,Цвет фронтальной крышки,Ճակատային կափարիչի գույնը
Frontal cover material,Материал фронтальной крышки,Ճակատային կափարիչի նյութ
Frontal ring colour,Цвет фронтального кольца,Ճակատային օղակի գույնը
Frontal ring material,Материал фронтального кольца,Ճակատային օղակի նյութ
Full express - 60 minutes,Полный экспресс - 60 минут,Ամբողջական էքսպրես - 60 րոպե
Full express PRO,Полный экспресс PRO,Ամբողջական էքսպրես PRO
Full glass inner door,Внутренняя дверь из цельного стекла,Ամբողջական ապակե ներքին դուռ
Full grill,Полный гриль,Ամբողջական գրիլ
Full grill + Fan,Полный гриль + вентилятор,Ամբողջական գրիլ + օդափոխիչ
Function buttons colour,Цвет функциональных кнопок,Գործառույթների կոճակների գույնը
Functioning,Функционирование,Գործունեություն
Functions display,Дисплей функций,Գործառույթների էկրան
Furniture door can be fitted on right or left side with adjustable hinges,Дверь мебели может быть установлена с правой или левой стороны с регулируемыми петлями,Կահույքի դուռը կարող է տեղադրվել աջ կամ ձախ կողմում՝ կարգավորվող ծխնիներով
Galileo platform,Платформа Galileo,Galileo հարթակ
Gas Type,Тип газа,Գազի տեսակը
Gas connection rating (W),Номинальная мощность газового подключения (Вт),Գազի միացման գնահատական (Վտ)
Gas safety valves,Газовые клапаны безопасности,Գազի անվտանգության փականներ
Gasket type,Тип прокладки,Միջադիրի տեսակը
Gift box depth,Глубина подарочной коробки,Նվերների տուփի խորություն
Gift box height,Высота подарочной коробки,Նվերների տուփի բարձրություն
Gift box width,Ширина подарочной коробки,Նվերների տուփի լայնություն
Giftbox depth,Глубина подарочной коробки,Նվերների տուփի խորություն
Giftbox height,Высота подарочной коробки,Նվերների տուփի բարձրություն
Giftbox width,Ширина подарочной коробки,Նվերների տուփի լայնություն
Glass Type,Тип стекла,Ապակու տեսակը
Glass color,Цвет стекла,Ապակու գույնը
Glass edge,Край стекла,Ապակու եզր
Glass holder,Держатель стекла,Ապակու պահարան
Glass on Steel,Стекло на стали,Ապակի պողպատի վրա
Glass tray,Стеклянный поднос,Ապակե սկուտեղ
Glass type,Тип стекла,Ապակու տեսակը
Graduated beaker,Мерный стакан,Չափիչ բաժակ
Grease Filtering Efficiency (GFE),Эффективность жироулавливания (GFE),Ճարպի զտման արդյունավետություն (GFE)
Grease Filtering Efficiency Class (GFEC),Класс эффективности жироулавливания (GFEC),Ճարպի զտման արդյունավետության դաս (GFEC)
Green express,Зелёный экспресс,Կանաչ էքսպրես
Grid,Решётка,Ցանց
Grill - power,Гриль - мощность,Գրիլ - հզորություն
Grill element,Элемент гриля,Գրիլի տարր
Grill element - power,Элемент гриля - мощность,Գրիլի տարր - հզորություն
Grill function,Функция гриля,Գրիլի գործառույթ
Grill mesh,Решётка гриля,Գրիլի ցանց
Grill type,Тип гриля,Գրիլի տեսակը
Gross Weight (kg),Вес брутто (кг),Համախառն քաշ (կգ)
Gross volume,Общий объём,Համախառն ծավալ
Gross volume, 1st cavity,Общий объём, 1-я полость,Համախառն ծավալ, 1-ին խոռոչ
Gross volume, 3rd cavity,Общий объём, 3-я полость,Համախառն ծավալ, 3-րդ խոռոչ
Gross weight,Вес брутто,Համախառն քաշ
Gross weight (kg),Вес брутто (кг),Համախառն քաշ (կգ)
H-Condense System,Система H-Condense,H-Condense համակարգ
Half bowl cup drainer,Половинная чаша с подставкой для чашек,Կես թաս բաժակների չորացման համար
Hand blender dimensions,Размеры погружного блендера,Ձեռքի բլենդերի չափերը
Handle,Ручка,Բռնակ
Handle Colour,Цвет ручки,Բռնակի գույնը
Handle colour,Цвет ручки,Բռնակի գույնը
Handle for filtered water supply,Ручка для подачи фильтрованной воды,Ֆիլտրացված ջրի մատակարարման բռնակ
Handle kit to be ordered separately,Комплект ручек заказывается отдельно,Բռնակների հավաքածուն պատվիրվում է առանձին
Handle material,Материал ручки,Բռնակի նյութ
Handle type,Тип ручки,Բռնակի տեսակը
Handle's protection colour,Цвет защиты ручки,Բռնակի պաշտպանության գույնը
Handle's protection material,Материал защиты ручки,Բռնակի պաշտպանության նյութ
Handle(s) application,Применение ручки(ек),Բռնակ(ներ)ի կիրառություն
Handle(s) color,Цвет ручки(ек),Բռնակ(ներ)ի գույնը
Handle(s) finishing,Отделка ручки(ек),Բռնակ(ներ)ի հարդարում
Handle(s) material,Материал ручки(ек),Բռնակ(ներ)ի նյութ
Handle(s) type,Тип ручки(ек),Բռնակ(ներ)ի տեսակը
Handshower,Душевая лейка,Ցնցուղի գլխիկ
Head tilt up mode,Режим подъёма головки,Գլխի բարձրացման ռեժիմ
Heating System,Система нагрева,Ջեռուցման համակարգ
Heating plate material,Материал нагревательной пластины,Ջեռուցման ափսեի նյութ
Heating pump system,Система теплового насоса,Ջեռուցման պոմպի համակարգ
Heating suspended when door is opened,Нагрев приостанавливается при открытии дверцы,Դռան բացման ժամանակ ջեռուցումը դադարում է
Heavy metals free,Без тяжёлых металлов,Առանց ծանր մետաղների
Height,Высота,Բարձրություն
Height (mm) packaged,Высота упаковки (мм),Փաթեթավորման բարձրություն (մմ)
Height (mm) packed,Высота упаковки (мм),Փաթեթավորման բարձրություն (մմ)
Height adjustment of the upper basket,Регулировка высоты верхней корзины,Վերին զամբյուղի բարձրության կարգավորում
Height from kitchen top,Высота от столешницы,Բարձրություն խոհանոցի վերևից
Height of the built-in niche,Высота ниши для встраивания,Ներկառուցման խորշի բարձրություն
Height of the packed product (in),Высота упакованного продукта (дюймы),Փաթեթավորված արտադրանքի բարձրություն (դյույմ)
Height packaged,Высота упаковки,Փաթեթավորման բարձրություն
Height packaged (mm),Высота упаковки (мм),Փաթեթավորման բարձրություն (մմ)
Height, maximum value,Высота, максимальное значение,Բարձրություն, առավելագույն արժեք
Hinge position,Положение петель,Ծխնիների դիրքը
Hinge type,Тип петель,Ծխնիների տեսակը
Hinges,Петли,Ծխնիներ
Hob LED colours,Цвета LED варочной панели,Վառարանի LED գույներ
Hob colour,Цвет варочной панели,Վառարանի գույնը
Hob energy consumption,Энергопотребление варочной панели,Վառարանի էներգիայի սպառում
Hob energy type,Тип энергии варочной панели,Վառարանի էներգիայի տեսակը
Hob type,Тип варочной панели,Վառարանի տեսակը
Hood Type,Тип вытяжки,Արտածուծիչի տեսակը
Hood control setting,Настройка управления вытяжкой,Արտածուծիչի կառավարման կարգավորում
Hood time setting,Настройка времени вытяжки,Արտածուծիչի ժամանակի կարգավորում
Hood width,Ширина вытяжки,Արտածուծիչի լայնություն
Hot Chocolate function,Функция горячего шоколада,Տաք շոկոլադի գործառույթ
Hot Froth Dense function,Функция горячей густой пены,Տաք խիտ փրփուրի գործառույթ
Hot Froth Light function,Функция горячей лёгкой пены,Տաք թեթև փրփուրի գործառույթ
Hot Milk function,Функция горячего молока,Տաք կաթի գործառույթ
Hot Water Function,Функция горячей воды,Տաք ջրի գործառույթ
Hot Water/Steam Dispenser,Дозатор горячей воды/пара,Տաք ջրի/գոլորշու դիսպենսեր
Hot milk Foam function,Функция пены из горячего молока,Տաք կաթի փրփուրի գործառույթ
Hot water/steam Spout Color,Цвет носика горячей воды/пара,Տաք ջրի/գոլորշու ժայթքի գույնը
Humidity sensor,Датчик влажности,Խոնավության սենսոր
Hygiene 99,9%,Гигиена 99,9%,Հիգիենա 99,9%
Ice maker,Льдогенератор,Սառույցի արտադրիչ
Ice shape,Форма льда,Սառույցի ձև
Ice tray shelf,Полка для лотка для льда,Սառույցի սկուտեղի դարակ
Increments,Приращения,Ավելացումներ
Independent cooling systems,Независимые системы охлаждения,Անկախ սառեցման համակարգեր
Independent slot,Независимый слот,Անկախ անցք
Induction system with automatic switch off,Индукционная система с автоматическим отключением,Ավտոմատ անջատմամբ ինդուկցիոն համակարգ
Inferior collar material,Материал нижнего воротника,Ստորին օձիքի նյութ
Inner bowl finishing,Внутренняя отделка чаши,Ներքին թասի հարդարում
Inner bowl material,Внутренний материал чаши,Ներքին թասի նյութ
Insert gird,Вставная решётка,Ներդիր ցանց
Installation,Установка,Տեղադրում
Installation positioning of the appliance,Расположение прибора при установке,Սարքի տեղադրման դիրք
Installation type,Тип установки,Տեղադրման տեսակը
Instant GO,Мгновенный старт,Ակնթարթային մեկնարկ
Integrated cord,Встроенный кабель,Ներկառուցված մալուխ
Integrated cord wrap,Встроенная катушка для кабеля,Ներկառուցված լարի փաթաթիչ
Integrated flush waste kit,Встроенный комплект для слива,Ներկառուցված արտահոսքի հավաքածու
Integrated heating element,Встроенный нагревательный элемент,Ներկառուցված ջեռուցման տարր
Intense,Интенсивный,Ինտենսիվ
Intense 60°,Интенсивный 60°,Ինտենսիվ 60°
Intensive Pro,Интенсивный Pro,Ինտենսիվ Pro
Intensive speed,Интенсивная скорость,Ինտենսիվ արագություն
Internal body material,Материал внутреннего корпуса,Ներքին մարմնի նյութ
Internal coating,Внутреннее покрытие,Ներքին ծածկույթ
Internal coating made without PFAS,Внутреннее покрытие без PFAS,Ներքին ծածկույթ՝ առանց PFAS-ի
Internal color,Внутренний цвет,Ներքին գույն
Internal freezer compartment,Внутреннее морозильное отделение,Ներքին սառցախցիկ
Internal light,Внутренняя подсветка,Ներքին լուսավորություն
Internal light in freezer,Подсветка в морозильной камере,Սառցախցիկի ներքին լուսավորություն
Internal light in fridge,Подсветка в холодильнике,Սառնարանի ներքին լուսավորություն
Inverter,Инвертор,Ինվերտոր
Ionizer,Ионизатор,Իոնիզատոր
Jet type,Тип струи,Շիթի տեսակը
Keep Warm,Поддержание тепла,Տաք պահում
Keep Warm mode,Режим поддержания тепла,Տաք պահման ռեժիմ
Keep warm,Поддержание тепла,Տաք պահում
Keep warm automatic function,Автоматическое поддержание тепла,Տաքի ավտոմատ պահպանման գործառույթ
Kit with aesthetic components,Комплект с эстетическими компонентами,Էսթետիկ բաղադրիչների հավաքածու
Kitchen panel,Кухонная панель,Խոհանոցային վահանակ
Knives material,Материал ножей,Դանակների նյութ
Knives slots material,Материал слотов для ножей,Դանակների անցքերի նյութ
Knob,Ручка,Կոճակ
Knob Color,Цвет ручки,Կոճակի գույնը
Knob Material,Материал ручки,Կոճակի նյութ
Knob ring finishing,Отделка кольца ручки,Կոճակի օղակի հարդարում
Knob ring material,Материал кольца ручки,Կոճակի օղակի նյութ
LED Display,LED-дисплей,LED էկրան
LED colour on,Цвет LED при включении,LED-ի գույնը միացման ժամանակ
LED colours,Цвета LED,LED գույներ
LED hidden display,Скрытый LED-дисплей,Թաքնված LED էկրան
LED/display colour,Цвет LED/дисплея,LED/էկրանի գույնը
LH Bowl depth (mm),Глубина чаши LH (мм),LH թասի խորություն (մմ)
Large grill - Power,Большой гриль - Мощность,Մեծ գրիլ - Հզորություն
Largest loadable dish in lower basket,Самая большая посуда в нижней корзине,Ստորին զամբյուղի ամենամեծ բեռնվող աման
Largest loadable dish in upper basket,Самая большая посуда в верхней корзине,Վերին զամբյուղի ամենամեծ բեռնվող աման
Led color,Цвет LED,LED գույն
Led/display colour,Цвет LED/дисплея,LED/էկրանի գույնը
Left Bridge dimension,Размер левого моста,Ձախ կամրջի չափ
Left Multizone dimension,Размер левой Multizone,Ձախ Multizone-ի չափ
Lever material,Материал рычага,Լծակի նյութ
Lid colour,Цвет крышки,Կափարիչի գույնը
Lid material,Материал крышки,Կափարիչի նյութ
Lid opening,Открывание крышки,Կափարիչի բացում
Lid with seal,Крышка с уплотнением,Կնիքով կափարիչ
Life Plus zone-0°C,Зона Life Plus - 0°C,Life Plus գոտի - 0°C
Light Power,Мощность освещения,Լուսավորության հզորություն
Light color temperature range,Диапазон цветовой температуры света,Լույսի գունային ջերմաստիճանի միջակայք
Light color temperature scale (K),Шкала цветовой температуры света (K),Լույսի գունային ջերմաստիճանի սանդղակ (K)
Light type,Тип освещения,Լուսավորության տեսակը
Light when door is opened,Подсветка при открытии дверцы,Դռան բացման ժամանակ լուսավորություն
Light when oven door is open,Подсветка при открытии дверцы духовки,Ջեռոցի դռան բացման ժամանակ լուսավորություն
Lighting Efficiency (LE),Эффективность освещения (LE),Լուսավորության արդյունավետություն (LE)
Lighting Efficiency Class (LEC),Класс эффективности освещения (LEC),Լուսավորության արդյունավետության դաս (LEC)
Lighting forced ON,Принудительное включение освещения,Հարկադիր լուսավորություն ՄԻԱՑՎԱԾ
Limescale,Накипь,Կրաքար
Limited Power Consumption Mode,Режим ограниченного энергопотребления,Սահմանափակ էներգիայի սպառման ռեժիմ
Limited Power Consumption Mode in W,Режим ограниченного энергопотребления в Вт,Սահմանափակ էներգիայի սպառման ռեժիմ (Վտ)
Liquid detergent accessory as standard,Жидкое моющее средство в комплекте,Հեղուկ լվացող միջոց ստանդարտ փաթեթում
Load balancing system,Система балансировки загрузки,Բեռի հավասարակշռման համակարգ
Load capacity,Загрузочная способность,Բեռնման հզորություն
Load capacity (cotton),Загрузочная способность (хлопок),Բեռնման հզորություն (բամբակ)
Load type,Тип загрузки,Բեռնման տեսակը
Loading capacity,Загрузочная способность,Բեռնման հզորություն
Logo body type,Тип корпуса логотипа,Լոգոտիպի մարմնի տեսակը
Logo cap type,Тип колпачка логотипа,Լոգոտիպի խցանի տեսակը
Low temperature compartment,Низкотемпературное отделение,Ցածր ջերմաստիճանի խցիկ
