value_en,value_ru,value_hy
Bevelled Front Edge,Скошенный передний край,Թեքված առջևի եզր
Bianco,Белый,Սպիտակ
Black,Черный,Սև
Black Ceram,Черная керамика,Սև կերամիկա
Black Matt,Черный матовый,Սև փայլատ
Black enamel,Черная эмаль,Սև էմալ
Black with Silver ring,Черный с серебряным кольцом,Սև արծաթե օղակով
Black with chrome ring,Черный с хромированным кольцом,Սև քրոմե օղակով
Black with matt black frame,Черный с матовой черной рамкой,Սև փայլատ սև շրջանակով
Black with stainless steel effect frame,Черный с рамкой под нержавеющую сталь,Սև չժանգոտվող պողպատի էֆեկտով շրջանակով
Black/Chrome,Черный/Хром,Սև/Քրոմ
Black/Silver,Черный/Серебряный,Սև/Արծաթագույն
Blast chiller,Шоковая заморозка,Շոկային սառեցում
Blender,Блендер,Բլենդեր
Blenders,Блендеры,Բլենդերներ
Blu Mediterraneo,Синий Средиземноморский,Կապույտ Միջերկրածովյան
Blue,Синий,Կապույտ
Bottle for soda maker SKC01,Бутылка для газировки SKC01,Շիշ SKC01 գազավորված ջրի արտադրիչի համար
Bottle holder,Держатель для бутылок,Շշերի պահարան
"Bottle holder, Egg tray","Держатель для бутылок, лоток для яиц","Շշերի պահարան, ձվի տարա"
"Bottle rack, Separatore lattine","Держатель для бутылок, разделитель банок","Շշերի դարակ, տարաների բաժանարար"
"Bottle, cap","Бутылка, крышка","Շիշ, կափարիչ"
"Bottles Cooling, Cooling, Deep Freezing, Pre-cooling, Preservation, Raw fish sanitizing","Охлаждение бутылок, охлаждение, глубокая заморозка, предварительное охлаждение, сохранение, санитарная обработка сырой рыбы","Շշերի սառեցում, սառեցում, խորը սառեցում, նախասառեցում, պահպանում, հում ձկան ախտահանում"
Bottom Mount,С нижней морозильной камерой,Ստորին տեղակայման
Brass,Латунь,Արույր
Brassed,Латунированный,Արույրապատ
Breakfast,Завтрак,Նախաճաշ
Bridge,Мост,Կամուրջ
Brown,Коричневый,Շագանակագույն
Brushed,Матовая,Խոզանակված
Brushed stainless steel,Матовая нержавеющая сталь,Խոզանակված չժանգոտվող պողպատ
Brushed with chromed edge,Матовая с хромированным краем,Խոզանակված քրոմապատ եզրով
Brushed with polished edge,Матовая с полированным краем,Խոզանակված փայլեցված եզրով
Brushless/Inverter,Бесщёточный/Инверторный,Անխոզանակ/Ինվերտորային
Buffle,Buffle,Buffle
Built-in,Встраиваемая,Ներկառուցվող
Bun Warmer,Подогреватель булочек,Բուլկիների տաքացուցիչ
Button,Кнопка,Կոճակ
"Button , Knob","Кнопка, ручка","Կոճակ, կարգավորիչ"
Buttons,Кнопки,Կոճակներ
"Buttons, Control knobs","Кнопки, ручки управления","Կոճակներ, կառավարման կոճակներ"
"Buttons, Knob","Кнопки, ручка","Կոճակներ, կարգավորիչ"
"Buttons, Lever","Кнопки, рычаг","Կոճակներ, լծակ"
Buttons; Lever,Кнопки; Рычаг,Կոճակներ; Լծակ
Carafe,Кувшин,Սափոր
Cardboard,Картон,Ստվարաթուղթ
Cardboard+supports,Картон + опоры,Ստվարաթուղթ + հենարաններ
Carrara White,Белый Каррара,Կարարայի սպիտակ
Cartone,Картон,Ստվարաթուղթ
Cast Iron,Чугун,Չուգուն
Cast iron,Чугун,Չուգուն
Catalytic,Каталитическая,Կատալիտիկ
Ceiling,Потолочная,Առաստաղի
Ceiling hood,Потолочная вытяжка,Առաստաղի արտածուծիչ
Cement / Concrete,Цемент/Бетон,Ցեմենտ/Բետոն
Central,Центральная,Կենտրոնական
Centrale sinistra,Центр слева,Կենտրոն ձախ
Centre of bowl,Центр чаши,Թասի կենտրոն
Centre-left,Центр-слева,Կենտրոն-ձախ
Centre-right,Центр-справа,Կենտրոն-աջ
Centrifugal,Центробежная,Կենտրոնախույս
Ceramic,Стеклокерамика,Կերամիկա
Ceramic - Double,Стеклокерамическая - Двойная,Կերամիկա - Կրկնակի
Ceramic - Extendable,Керамическая - Расширяемая,Կերամիկական - Երկարացվող
Ceramic - Single,Стеклокерамическая - Одиночная,Կերամիկա - Մեկ
Ceramic - double,Стеклокерамическая - двойная,Կերամիկա - կրկնակի
Ceramic - extendable,Керамическая - расширяемая,Կերամիկական - երկարացվող
Ceramic - single,Стеклокерамическая - одиночная,Կերամիկա - մեկ
Ceramic Eclipse,Керамика Eclipse,Կերամիկա Eclipse
Ceramic Filter,Керамический фильтр,Կերամիկական ֆիլտր
Ceramic Non Stick,Керамическое антипригарное,Կերամիկական չկպչող
Ceramic non-stick,Керамическое антипригарное,Կերամիկական չկպչող
Cercamic enamel,Керамическая эмаль,Կերամիկական էմալ
Champagne,Шампань,Շամպայն
Charcoal filter,Угольный фильтр,Ածխածնային ֆիլտր
Charcoal filter kit,Комплект угольного фильтра,Ածխածնային ֆիլտրի հավաքածու
"Cheese box, Egg tray","Контейнер для сыра, лоток для яиц","Պանրի տարա, ձվի տարա"
Child Lock,Блокировка от детей,Մանկական կողպեք
Chimney,Дымоходная,Ծխնելույզ
Chimney extension,Удлинитель дымохода,Ծխնելույզի երկարացում
Chimney set,Комплект дымохода,Ծխնելույզի հավաքածու
Chrome,Хром,Քրոմ
Chrome and black matt,Хром и чёрный матовый,Քրոմ և սև փայլատ
Chromed,Хромированный,Քրոմապատ
Classic,Классическая,Դասական
Classica,Классика,Դասական
Clear,Прозрачный,Թափանցիկ
Clock,Часы,Ժամացույց
"Clock setting, Clock format 12/24H, Unit measure temperature/weight, Acoustic signals ON/OFF, Brightness level, Turntable plate ON/OFF","Настройка часов, формат часов 12/24H, единицы измерения температуры/веса, звуковые сигналы ВКЛ/ВЫКЛ, уровень яркости, поворотный стол ВКЛ/ВЫКЛ","Ժամացույցի կարգավորում, ժամի ֆորմատ 12/24H, ջերմաստիճանի/քաշի չափման միավոր, ձայնային ազդանշաններ ՄԻԱՑՎԱԾ/ԱՆՋԱՏՎԱԾ, պայծառության մակարդակ, պտտվող սեղան ՄԻԱՑՎԱԾ/ԱՆՋԱՏՎԱԾ"
"Coating thickness , Eco-friendly, Easy to clean, Hypoallergenic","Толщина покрытия, экологичный, легко чистится, гипоаллергенный","Ծածկույթի հաստություն, էկոլոգիական, հեշտ մաքրվող, հիպոալերգեն"
Coffee,Кофе,Սուրճ
Coffee Machines,Кофемашины,Սուրճի մեքենաներ
Colander,Дуршлаг,Քամիչ
"Cold Wash, Anti-allergy, Stain-resistant, Shirts, Cotton, Eco 40-60, Wool/Hand wash, Mix, Duvet, Quick Wash 14 min, Refresh, Rinse, Drain + Spin, Self Clean, Synthetics","Холодная стирка, Антиаллергия, Против пятен, Рубашки, Хлопок, Eco 40-60, Шерсть/Ручная стирка, Смесь, Пуховое одеяло, Быстрая стирка 14 мин, Освежение, Полоскание, Слив + Отжим, Самоочистка, Синтетика","Սառը լվացում, Հակաալերգիա, Բծերի դեմ, Վերնաշապիկներ, Բամբակ, Eco 40-60, Բուրդ/Ձեռքով լվացում, Խառնուրդ, Վերմակ, Արագ լվացում 14 ր, Թարմացում, Ողողում, Արտահոսք + Պտտում, Ինքնամաքրում, Սինթետիկա"
Cold-forged aluminium,Холоднокованый алюминий,Սառը դարբնած ալյումին
Collezione,Коллекция,Հավաքածու
Colonial,Колониальный,Գաղութային
Colonial control knobs,Колониальные ручки управления,Գաղութային կառավարման կոճակներ
Coloniale,Колониальный,Գաղութային
Colori multipli,Множество цветов,Բազմագույն
Combi Microwave,Комбинированная микроволновая печь,Համակցված միկրոալիքային
Combi Steam,Комбинированная паровая,Համակցված գոլորշի
Compact Lite,Компактный Lite,Կոմպակտ Lite
Compact Slider,Компактный слайдер,Կոմպակտ սահիչ
Compact Slider Plus,Компактный слайдер Plus,Կոմպակտ սահիչ Plus
CompactScreen,Компактный экран,Կոմպակտ էկրան
Composite,Композитный,Կոմպոզիտային
Composite bowl,Композитная чаша,Կոմպոզիտային թաս
Composite sink,Композитная мойка,Կոմպոզիտային լվացարան
Concerto,Концерт,Համերգ
Conical,Конический,Կոնաձև
Connecting Strip,Соединительная планка,Միացնող շերտ
Containers set,Набор контейнеров,Տարաների հավաքածու
Contaminuti + fine cottura,Таймер + окончание приготовления,Ժմչփ + եփման ավարտ
Contemporanea,Современная,Ժամանակակից
Control block,Блок управления,Կառավարման բլոկ
Control buttons,Кнопки управления,Կառավարման կոճակներ
Control knob,Ручка управления,Կառավարման կոճակ
Control knobs,Ручки управления,Կառավարման կոճակներ
Control knobs / buttons,Ручки управления / кнопки,Կառավարման կոճակներ / կոճակներ
Cooker,Плита,Սալօջախ
Cookers,Плиты,Սալօջախներ
"Cookers, Hobs","Плиты, варочные панели","Սալօջախներ, վառարաններ"
Cooking,Приготовление,Խոհարարություն
Cookware,Посуда,Խոհանոցային պարագաներ
"Cool, 20°C, 30°C, 40°C, 50°C, 60°C, 70°C, 80°C, 90°C","Холодная, 20°C, 30°C, 40°C, 50°C, 60°C, 70°C, 80°C, 90°C","Սառը, 20°C, 30°C, 40°C, 50°C, 60°C, 70°C, 80°C, 90°C"
"Cool, 20°C, 30°C, 40°C, 60°C, 90°C","Холодная, 20°C, 30°C, 40°C, 60°C, 90°C","Սառը, 20°C, 30°C, 40°C, 60°C, 90°C"
Copper,Медь,Պղինձ
Cortina,Кортина,Կորտինա
Cotton,Хлопок,Բամբակ
"Cotton ECO, Rapid, Hygiene Drying, Bed sheet, Cotton, Synthetic, Towels, Outdoor, Delicates, Refresh, Shirts, Jeans, Mix, Timed Programmes, Duvet","Хлопок ЭКО, Быстрая, Гигиеничная сушка, Простыни, Хлопок, Синтетика, Полотенца, Верхняя одежда, Деликатное, Освежение, Рубашки, Джинсы, Смесь, Программы по времени, Пуховое одеяло","Բամբակյա ԷԿՈ, Արագ, Հիգիենիկ չորացում, Սավաններ, Բամբակ, Սինթետիկ, Սրբիչներ, Բացօթյա, Նուրբ, Թարմացում, Վերնաշապիկներ, Ջինսեր, Խառնուրդ, Ժամանակային ծրագրեր, Վերմակ"
"Cotton ECO, Rapid, Hygiene Drying, DownWear, Outdoor/Sportswear, Bulk/Bedding, Cotton, Synthetic, Towels, Refresh, Shirts, Daily, Jeans, Mix, Timed Programmes","Хлопок ЭКО, Быстрая, Гигиеничная сушка, Пуховики, Верхняя/Спортивная одежда, Крупное/Постельное, Хлопок, Синтетика, Полотенца, Освежение, Рубашки, Повседневное, Джинсы, Смесь, Программы по времени","Բամբակյա ԷԿՈ, Արագ, Հիգիենիկ չորացում, Ներքնազգեստ, Բացօթյա/Սպորտային հագուստ, Մեծածավալ/Անկողնային, Բամբակ, Սինթետիկ, Սրբիչներ, Թարմացում, Վերնաշապիկներ, Ամենօրյա, Ջինսեր, Խառնուրդ, Ժամանակային ծրագրեր"
"Cotton ECO, Rapid, Hygiene Drying, Outdoor/Sportswear, Bulk/Bedding, Cotton, Synthetic, Towels, Delicates, Refresh, Shirts, Jeans, Mix, Timed Programmes, Duvet","Хлопок ЭКО, Быстрая, Гигиеничная сушка, Верхняя/Спортивная одежда, Крупное/Постельное, Хлопок, Синтетика, Полотенца, Деликатное, Освежение, Рубашки, Джинсы, Смесь, Программы по времени, Пуховое одеяло","Բամբակյա ԷԿՈ, Արագ, Հիգիենիկ չորացում, Բացօթյա/Սպորտային հագուստ, Մեծածավալ/Անկողնային, Բամբակ, Սինթետիկ, Սրբիչներ, Նուրբ, Թարմացում, Վերնաշապիկներ, Ջինսեր, Խառնուրդ, Ժամանակային ծրագրեր, Վերմակ"
"Cotton ECO, Rapid, Hygiene Drying, Refresh Hygiene, Steam Refresh, Cotton, Synthetic, Silent, Outdoor, Shirts, Jeans, Mix, Timed Programmes, Wool, Duvet","Хлопок ЭКО, Быстрая, Гигиеничная сушка, Гигиеническое освежение, Освежение паром, Хлопок, Синтетика, Бесшумная, Верхняя одежда, Рубашки, Джинсы, Смесь, Программы по времени, Шерсть, Пуховое одеяло","Բամբակյա ԷԿՈ, Արագ, Հիգիենիկ չորացում, Վերականգնող հիգիենա, Շոգու թարմացում, Բամբակ, Սինթետիկ, Անաղմուկ, Բացօթյա, Վերնաշապիկներ, Ջինսեր, Խառնուրդ, Ժամանակային ծրագրեր, Բուրդ, Վերմակ"
"Cotton ECO, Rapid, Hygiene Drying, Refresh Hygiene, Steam Refresh, Cotton, Synthetic, Silent, Shirts, Jeans, Mix, Timed Programmes, Wool, Duvet","Хлопок ЭКО, Быстрая, Гигиеничная сушка, Гигиеническое освежение, Освежение паром, Хлопок, Синтетика, Бесшумная, Рубашки, Джинсы, Смесь, Программы по времени, Шерсть, Пуховое одеяло","Բամբակյա ԷԿՈ, Արագ, Հիգիենիկ չորացում, Վերականգնող հիգիենա, Շոգու թարմացում, Բամբակ, Սինթետիկ, Անաղմուկ, Վերնաշապիկներ, Ջինսեր, Խառնուրդ, Ժամանակային ծրագրեր, Բուրդ, Վերմակ"
"Cotton ECO, Rapid, Hygiene Drying, Refresh Hygiene, Steam Refresh, Outdoor/Sportswear, Cotton, Synthetic, Silent, Shirts, Jeans, Mix, Timed Programmes, Wool, Duvet","Хлопок ЭКО, Быстрая, Гигиеничная сушка, Гигиеническое освежение, Освежение паром, Верхняя/Спортивная одежда, Хлопок, Синтетика, Бесшумная, Рубашки, Джинсы, Смесь, Программы по времени, Шерсть, Пуховое одеяло","Բամբակյա ԷԿՈ, Արագ, Հիգիենիկ չորացում, Վերականգնող հիգիենա, Շոգու թարմացում, Բացօթյա/Սպորտային հագուստ, Բամբակ, Սինթետիկ, Անաղմուկ, Վերնաշապիկներ, Ջինսեր, Խառնուրդ, Ժամանակային ծրագրեր, Բուրդ, Վերմակ"
"Cotton ECO, Rapid, Hygiene Drying, Refresh Hygiene, Steam Refresh, Outdoor/Sportswear, Shirts, Cotton, Synthetic, Silent, Jeans, Mix, Timed Programmes, Wool, Duvet","Хлопок ЭКО, Быстрая, Гигиеничная сушка, Гигиеническое освежение, Освежение паром, Верхняя/Спортивная одежда, Рубашки, Хлопок, Синтетика, Бесшумная, Джинсы, Смесь, Программы по времени, Шерсть, Пуховое одеяло","Բամբակյա ԷԿՈ, Արագ, Հիգիենիկ չորացում, Վերականգնող հիգիենա, Շոգու թարմացում, Բացօթյա/Սպորտային հագուստ, Վերնաշապիկներ, Բամբակ, Սինթետիկ, Անաղմուկ, Ջինսեր, Խառնուրդ, Ժամանակային ծրագրեր, Բուրդ, Վերմակ"
Countertop,Настольная,Սեղանի
Cover,Крышка,Կափարիչ
Cream,Кремовый,Կրեմ
Cromato,Хромированный,Քրոմապատ
Cubes,Кубики,Խորանարդիկներ
Cucina control knob kit,Комплект ручек Cucina,Կուչինա կառավարման կոճակների հավաքածու
Cucina restyling,Кухня рестайлинг,Կուչինա վերափոխում
Dark Grey Inox Look,Темно-серый под нержавеющую сталь,Մուգ մոխրագույն Inox տեսք
Dark Inox,Темный инокс,Մուգ Inox
Dark Inox Look,Темный под нержавеющую сталь,Մուգ Inox տեսք
Dark grey,Темно-серый,Մուգ մոխրագույն
Decorated / Special,Декорированный / Специальный,Զարդարված / Հատուկ
Decorative island hood,Декоративная островная вытяжка,Դեկորատիվ կղզու արտածուծիչ
Decorative wall hood,Декоративная настенная вытяжка,Դեկորատիվ պատի արտածուծիչ
Decorato / Speciale,Декорированный / Специальный,Զարդարված / Հատուկ
Delay,Задержка,Հետաձգում
Delay start and automatic end cooking,Отложенный старт и автоматическое завершение приготовления,Հետաձգված մեկնարկ և ավտոմատ ավարտ
"Delay timer, FlexiTime, Prewash, Additional rinse, Anti-wrinkle (easy ironing), Quick, Intensive","Таймер отсрочки, FlexiTime, Предварительная стирка, Дополнительное полоскание, Антисминание (легкая глажка), Быстрая, Интенсивная","Հետաձգման ժմչփ, FlexiTime, Նախնական լվացում, Լրացուցիչ ողողում, Կնճիռների դեմ (հեշտ արդուկում), Արագ, Ինտենսիվ"
"Delay timer, FlexiTime, Prewash, Additional rinse, No spin, Anti-wrinkle (easy ironing), Intensive, Cold wash, Drying","Таймер отсрочки, FlexiTime, Предварительная стирка, Дополнительное полоскание, Без отжима, Антисминание (легкая глажка), Интенсивная, Холодная стирка, Сушка","Հետաձգման ժմչփ, FlexiTime, Նախնական լվացում, Լրացուցիչ ողողում, Առանց պտտման, Կնճիռների դեմ (հեշտ արդուկում), Ինտենսիվ, Սառը լվացում, Չորացում"
"Delay timer, Prewash, Additional rinse, Anti-wrinkle (easy ironing), Quick, Intensive","Таймер отсрочки, Предварительная стирка, Дополнительное полоскание, Антисминание (легкая глажка), Быстрая, Интенсивная","Հետաձգման ժմչփ, Նախնական լվացում, Լրացուցիչ ողողում, Կնճիռների դեմ (հեշտ արդուկում), Արագ, Ինտենսիվ"
Delay_function,Функция задержки,Հետաձգման գործառույթ
Delayed start,Отложенный старт,Հետաձգված մեկնարկ
"Delayed start, Programme time indicator","Отложенный старт, индикатор времени программы","Հետաձգված մեկնարկ, ծրագրի ժամանակի ցուցիչ"
"Delayed start, Programme time indicator, Consumptions","Отложенный старт, индикатор времени программы, потребление","Հետաձգված մեկնարկ, ծրագրի ժամանակի ցուցիչ, սպառում"
"Delayed start, Programme time indicator, Time to end indication","Отложенный старт, индикатор времени программы, индикация времени до конца","Հետաձգված մեկնարկ, ծրագրի ժամանակի ցուցիչ, ավարտի ժամանակի ցուցում"
"Delayed start, Programme time indicator, Time to end indication, Dynamics programme time indicator","Отложенный старт, индикатор времени программы, индикация времени до конца, динамический индикатор времени программы","Հետաձգված մեկնարկ, ծրագրի ժամանակի ցուցիչ, ավարտի ժամանակի ցուցում, ծրագրի ժամանակի դինամիկ ցուցիչ"
Depth extension kit,Комплект удлинения глубины,Խորության երկարացման հավաքածու
Die-cast aluminium,Литой алюминий,Ձուլածո ալյումին
Digi Touch,Сенсорное управление Digi,Digi սենսորային
DigiScreen,Цифровой экран,Թվային էկրան
Digital,Цифровой,Թվային
Direct drive,Прямой привод,Ուղղակի շարժիչ
Dishwashers,Посудомоечные машины,Աման լվացող մեքենաներ
Divina Cucina,Divina Cucina,Divina Cucina
Dolce Stil Novo,Dolce Stil Novo,Dolce Stil Novo
Door,Дверца,Դուռ
Door on door,Дверь на двери,Դուռ դռան վրա
Double,Двойная,Կրկնակի
Double LED strip,Двойная LED-полоса,Կրկնակի LED շերտ
Double and Three Phase,Двух- и трёхфазное,Կրկնակի և եռաֆազ
Double in column,Двойной в колонне,Կրկնակի սյունակում
Double jets,Двойные струи,Կրկնակի շիթեր
Double lever,Двойной рычаг,Կրկնակի լծակ
Double lever filtered water,Двойной рычаг для фильтрованной воды,Կրկնակի լծակ ֆիլտրացված ջրի համար
Double under-counter,Двойной под столешницу,Կրկնակի սեղանի տակ
Double wall insulated bottle,Бутылка с двойными стенками и изоляцией,Կրկնակի պատերով մեկուսացված շիշ
Dove Gray,Голубино-серый,Աղավնու մոխրագույն
DownDraft,Нисходящая вытяжка,Ներքևի արտածուծիչ
Drawer,Ящик,Դարակ
"Drawer, manual","Ящик, ручной","Դարակ, ձեռքով"
Drawers,Ящики,Դարակներ
Drip filter Coffee Machine,Капельная кофемашина,Կաթիլային ֆիլտրի սուրճի մեքենա
"Dryers, Washing machines","Сушильные машины, стиральные машины","Չորանոցներ, լվացքի մեքենաներ"
"Drying Level, Program duration, Time Drying, Delay start, Residual time indicator","Уровень сушки, длительность программы, время сушки, отложенный старт, индикатор остаточного времени","Չորացման մակարդակ, ծրագրի տևողությունը, չորացման ժամանակ, հետաձգված մեկնարկ, մնացորդային ժամանակի ցուցիչ"
Dual fuel,Комбинированная (газ+электричество),Երկվառելիքային
Duoslide,Duoslide,Duoslide
ESC,ESC,ESC
"ESC, WSC","ESC, WSC","ESC, WSC"
EVO Slider,Слайдер EVO,EVO սահիչ
Eclipse,Eclipse,Eclipse
"Eco 40-60, Cotton, Clean, Delicate drying, Delicates, Drain + Spin, Mix, Night, Normal drying, Quick Wash, Rinse + Spin, Shirts, Sport, Synthetics, Wool","Eco 40-60, Хлопок, Очистка, Деликатная сушка, Деликатное, Слив + Отжим, Смесь, Ночная, Обычная сушка, Быстрая стирка, Полоскание + Отжим, Рубашки, Спорт, Синтетика, Шерсть","Eco 40-60, Բամբակ, Մաքրում, Նուրբ չորացում, Նրբություններ, Արտահոսք + Պտտում, Խառնուրդ, Գիշեր, Նորմալ չորացում, Արագ լվացում, Ողողում + Պտտում, Վերնաշապիկներ, Սպորտ, Սինթետիկա, Բուրդ"
"Eco 40-60, Cotton, Cotton 20°, Cotton 40°, Cotton 60°, Cotton 90°, Clean, Delicate 30°, Delicate drying, Drain + Spin, Mix 30°, Normal drying, Rinse + Spin, Synthetics 30°, Synthetics 40°, Wool Cold","Eco 40-60, Хлопок, Хлопок 20°, Хлопок 40°, Хлопок 60°, Хлопок 90°, Очистка, Деликатное 30°, Деликатная сушка, Слив + Отжим, Смесь 30°, Обычная сушка, Полоскание + Отжим, Синтетика 30°, Синтетика 40°, Шерсть холодная","Eco 40-60, Բամբակ, Բամբակ 20°, Բամբակ 40°, Բամբակ 60°, Բամբակ 90°, Մաքրում, Նուրբ 30°, Նուրբ չորացում, Արտահոսք + Պտտում, Խառնուրդ 30°, Նորմալ չորացում, Ողողում + Պտտում, Սինթետիկա 30°, Սինթետիկա 40°, Բուրդ սառը"
"Eco 40-60, Intensive drying, Cotton 20°, Cotton 40°, Cotton 60°, Cotton 90°, Clean, Delicate drying, Drain + Spin, Mix 30°, Quick Wash 15' 30°, Rinse + Spin, Synthetics 30°, Synthetics 40°, Wool Cold","Eco 40-60, Интенсивная сушка, Хлопок 20°, Хлопок 40°, Хлопок 60°, Хлопок 90°, Очистка, Деликатная сушка, Слив + Отжим, Смесь 30°, Быстрая стирка 15' 30°, Полоскание + Отжим, Синтетика 30°, Синтетика 40°, Шерсть холодная","Eco 40-60, Ինտենսիվ չորացում, Բամբակ 20°, Բամբակ 40°, Բամբակ 60°, Բամբակ 90°, Մաքրում, Նուրբ չորացում, Արտահոսք + Պտտում, Խառնուրդ 30°, Արագ լվացում 15' 30°, Ողողում + Պտտում, Սինթետիկա 30°, Սինթետիկա 40°, Բուրդ սառը"
"Eco 40-60, Synthetic dry, Wash&Dry 5kg Cotton , Wash&Dry Anti allergy, Wash&Dry Express, Wool/Hand wash, Cotton, Cotton Dry, Drain + Spin, Mix, Quick Wash 14 min, Rinse, Shirts, Synthetics","Eco 40-60, Синтетическая сушка, Стирка+Сушка 5кг Хлопок, Стирка+Сушка Антиаллергия, Стирка+Сушка Экспресс, Шерсть/Ручная стирка, Хлопок, Сушка хлопка, Слив + Отжим, Смесь, Быстрая стирка 14 мин, Полоскание, Рубашки, Синтетика","Eco 40-60, Սինթետիկ չորացում, Լվացում+Չորացում 5կգ Բամբակ, Լվացում+Չորացում Հակաալերգիա, Լվացում+Չորացում Էքսպրես, Բուրդ/Ձեռքով լվացում, Բամբակ, Բամբակի չորացում, Արտահոսք + Պտտում, Խառնուրդ, Արագ լվացում 14 ր, Ողողում, Վերնաշապիկներ, Սինթետիկա"
"Eco 40-60, Synthetic dry, Wash&Dry Anti allergy, Wash&Dry Cotton 6kg, Wash&Dry Express, Wool/Hand wash, Cotton, Cotton Dry, Drain + Spin, Mix, Quick Wash 14 min, Rinse, Shirts, Synthetics","Eco 40-60, Синтетическая сушка, Стирка+Сушка Антиаллергия, Стирка+Сушка Хлопок 6кг, Стирка+Сушка Экспресс, Шерсть/Ручная стирка, Хлопок, Сушка хлопка, Слив + Отжим, Смесь, Быстрая стирка 14 мин, Полоскание, Рубашки, Синтетика","Eco 40-60, Սինթետիկ չորացում, Լվացում+Չորացում Հակաալերգիա, Լվացում+Չորացում Բամբակ 6կգ, Լվացում+Չորացում Էքսպրես, Բուրդ/Ձեռքով լվացում, Բամբակ, Բամբակի չորացում, Արտահոսք + Պտտում, Խառնուրդ, Արագ լվացում 14 ր, Ողողում, Վերնաշապիկներ, Սինթետիկա"
Egg tray,Лоток для яиц,Ձվի տարա
Electric,Электрический,Էլեկտրական
Electric Milk Frother,Электрический вспениватель молока,Էլեկտրական կաթի փրփրիչ
Electric plates,Электрические конфорки,Էլեկտրական սալիկներ
Electrical button,Электрическая кнопка,Էլեկտրական կոճակ
Electrical hand mixer,Электрический ручной миксер,Էլեկտրական ձեռքի հարիչ
Electro-mechanical,Электромеханический,Էլեկտրամեխանիկական
Electromechanical,Электромеханический,Էլեկտրամեխանիկական
Electronic,Электронные,Էլեկտրոնային
Electronic 5 buttons,Электронный, 5 кнопок,Էլեկտրոնային 5 կոճակ
Electronic buttons,Электронные кнопки,Էլեկտրոնային կոճակներ
Electronic control,Электронное управление,Էլեկտրոնային կառավարում
Electronic touch control,Электронное сенсорное управление,Էլեկտրոնային սենսորային կառավարում
Electronics,Электронное,Էլեկտրոնային
Emerald Green,Изумрудно-зеленый,Զմրուխտ կանաչ
Emerald green,Изумрудно-зеленый,Զմրուխտյա կանաչ
Enamelled,Эмалированный,Էմալապատ
Enamelled flat,Эмалированные плоские,Էմալապատ հարթ
Enamelled metal,Эмалированный металл,Էմալապատ մետաղ
"End Time, Spin Speed, Temperature, Intensive, Steam, Smart Water","Время окончания, скорость отжима, температура, интенсивный, пар, умная вода","Ավարտի ժամանակ, պտտման արագություն, ջերմաստիճան, ինտենսիվ, գոլորշի, խելացի ջուր"
"End Time, Spin Speed, Temperature, Quick, Steam, Smart Water","Время окончания, скорость отжима, температура, быстрая, пар, умная вода","Ավարտի ժամանակ, պտտման արագություն, ջերմաստիճան, արագ, գոլորշի, խելացի ջուր"
End cooking,Окончание приготовления,Եփման ավարտ
"Ending in , Extra rinse, Prewash, Anti-wrinkle (easy ironing), Quick, Intensive, Steam, Drying","Окончание через, Дополнительное полоскание, Предварительная стирка, Антисминание (легкая глажка), Быстрая, Интенсивная, Пар, Сушка","Ավարտը, լրացուցիչ ողողում, նախնական լվացում, կնճիռների դեմ (հեշտ արդուկում), արագ, ինտենսիվ, գոլորշի, չորացում"
Espresso Coffee Machine,Эспрессо-кофемашина,Էսպրեսսո սուրճի մեքենա
Espresso Manual Coffee Machine,Ручная эспрессо-кофемашина,Ձեռքի էսպրեսսո սուրճի մեքենա
Esterno (su porta),Снаружи (на дверце),Արտաքին (դռան վրա)
Ever Clean enamel,Эмаль Ever Clean,Ever Clean էմալ
Ever clean Enamel,Эмаль Ever Clean,Ever clean էմալ
EvoScreen,EvoScreen,EvoScreen
Exhaust kit,Комплект вытяжки,Արտանետման հավաքածու
Extension kit,Комплект расширения,Երկարացման հավաքածու
External,Внешняя,Արտաքին
"External, in the door","Внешняя, на дверце","Արտաքին, դռան վրա"
Extractable,Выдвижная,Քաշվող
Extraction,Вытяжка,Արտանետում
FIAP 16007 - 1100l capacity,FIAP 16007 - вместимость 1100 л,FIAP 16007 - 1100լ հզորություն
Fan assisted,С вентилятором,Օդափոխիչով
"Fan assisted refrigerator, static freezer","Вентилируемая холодильная камера, статическая морозильная камера","Օդափոխիչով սառնարան, ստատիկ սառցախցիկ"
"Fast Feezing, Temperature Alarm","Быстрая заморозка, сигнал температуры","Արագ սառեցում, ջերմաստիճանի ազդանշան"
"Fast Feezing, Temperature Alarm, Cooling timer","Быстрая заморозка, сигнал температуры, таймер охлаждения","Արագ սառեցում, ջերմաստիճանի ազդանշան, սառեցման ժմչփ"
Fast cooling,Быстрое охлаждение,Արագ սառեցում
"Fast cooling, ECO, Temperature alarm","Быстрое охлаждение, ЭКО, сигнал температуры","Արագ սառեցում, ԷԿՈ, ջերմաստիճանի ազդանշան"
Fast freezing,Быстрая заморозка,Արագ սառեցում
"Fast freezing, ECO","Быстрая заморозка, ЭКО","Արագ սառեցում, ԷԿՈ"
"Fast freezing, ECO, Temperature alarm","Быстрая заморозка, ЭКО, сигнал температуры","Արագ սառեցում, ԷԿՈ, ջերմաստիճանի ազդանշան"
Feet Kit,Комплект ножек,Ոտքերի հավաքածու
